"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pex_bm_assistv3_3m_i_perform_013,pex_bm_assistv3,,radio,"Methamphetamine (meth, crystal meth, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv3_3m_i_use_013] = '1' OR [pex_bm_assistv3_3m_i_use_013] = '2' OR [pex_bm_assistv3_3m_i_use_013] = '3' OR [pex_bm_assistv3_3m_i_use_013] = '4')",y,,,pex_bm_assistv3_3m_i_perform_m01,,
pex_bm_assistv3_3m_i_perform_014,pex_bm_assistv3,,radio,"Inhalants (nitrous, glue, petrol, paint thinner, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv3_3m_i_use_014] = '1' OR [pex_bm_assistv3_3m_i_use_014] = '2' OR [pex_bm_assistv3_3m_i_use_014] = '3' OR [pex_bm_assistv3_3m_i_use_014] = '4')",y,,,pex_bm_assistv3_3m_i_perform_m01,,
pex_bm_assistv3_3m_i_perform_015,pex_bm_assistv3,,radio,"Hallucinogens or club drugs (LSD, acid, mushrooms, psilocybin, MDMA, molly, ecstasy, Special K, GHB, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv3_3m_i_use_015] = '1' OR [pex_bm_assistv3_3m_i_use_015] = '2' OR [pex_bm_assistv3_3m_i_use_015] = '3' OR [pex_bm_assistv3_3m_i_use_015] = '4')",y,,,pex_bm_assistv3_3m_i_perform_m01,,
pex_bm_assistv3_3m_i_perform_016,pex_bm_assistv3,,radio,"Androgenic anabolic steroids (for performance enhancement)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv3_3m_i_use_016] = '1' OR [pex_bm_assistv3_3m_i_use_016] = '2' OR [pex_bm_assistv3_3m_i_use_016] = '3' OR [pex_bm_assistv3_3m_i_use_016] = '4')",y,,,pex_bm_assistv3_3m_i_perform_m01,,
pex_bm_assistv3_3m_i_perform_017,pex_bm_assistv3,,radio,"Phencyclidine (PCP)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv3_3m_i_use_017] = '1' OR [pex_bm_assistv3_3m_i_use_017] = '2' OR [pex_bm_assistv3_3m_i_use_017] = '3' OR [pex_bm_assistv3_3m_i_use_017] = '4')",y,,,pex_bm_assistv3_3m_i_perform_m01,,
pex_bm_assistv3_3m_i_perform_018,pex_bm_assistv3,,radio,Kratom,"1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv3_3m_i_use_018] = '1' OR [pex_bm_assistv3_3m_i_use_018] = '2' OR [pex_bm_assistv3_3m_i_use_018] = '3' OR [pex_bm_assistv3_3m_i_use_018] = '4')",y,,,pex_bm_assistv3_3m_i_perform_m01,,
pex_bm_assistv3_3m_i_perform_019,pex_bm_assistv3,,radio,Xylazine,"1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv3_3m_i_use_019] = '1' OR [pex_bm_assistv3_3m_i_use_019] = '2' OR [pex_bm_assistv3_3m_i_use_019] = '3' OR [pex_bm_assistv3_3m_i_use_019] = '4')",y,,,pex_bm_assistv3_3m_i_perform_m01,,
pex_bm_assistv4_lang,pex_bm_assistv4,,radio,Language,"en, English|es, Spanish",,,,,,,y,,,,," @HIDDEN @LANGUAGE-CURRENT-SURVEY"
pex_bm_assistv4_dtt,pex_bm_assistv4,,text,"Start time",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW"
pex_bm_assistv4_timestamp_start,pex_bm_assistv4,,text,"Start time (server)",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW-SERVER"
pex_bm_assistv4_location,pex_bm_assistv4,,dropdown,"Remote or on-site?","1, Remote|2, On-site",,,,,,,y,,,,," @IF([event-name][visit_start_complete] != 2, @DEFAULT='1', @DEFAULT='2') @HIDDEN"
pex_bm_assistv4_instr29,pex_bm_assistv4,,descriptive,"<div> <h6><span style=""color:blue; font-weight: bold;""><em>IN THE PAST TWELVE MONTHS, how often have you used any of the following substances for any reason?</em></span></h6> </div>",,,,,,,,,,,,,
pex_bm_assistv4_12m_i_use_001,pex_bm_assistv4,,radio,"Nicotine or tobacco products (cigarettes, e-cigarettes, chewing tobacco, cigars, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_002,pex_bm_assistv4,,radio,"Alcoholic beverages (beer, wine, spirits, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_003,pex_bm_assistv4,,radio,"Cannabis (marijuana, weed, pot, hash, wax, blunts, dabs, gummies, vapes, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_004,pex_bm_assistv4,,radio,"Cannabidiol (CBD; not containing THC)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_005,pex_bm_assistv4,,radio,"Synthetic cannabinoids (K2, spice, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_006,pex_bm_assistv4,,radio,"Prescription opioids (oxycodone, morphine, codeine, fentanyl, tramadol, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_007,pex_bm_assistv4,,radio,"Heroin or other illicit opioids (e.g. illicit fentanyl, etc) ","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_008,pex_bm_assistv4,,radio,Methadone,"0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_009,pex_bm_assistv4,,radio,Buprenorphine,"0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_010,pex_bm_assistv4,,radio,"Benzodiazepines, sedatives, or sleeping pills (Valium, Xanax, Ambien, barbiturates, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_011,pex_bm_assistv4,,radio,"Cocaine (coke, crack, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_012,pex_bm_assistv4,,radio,"Amphetamine type stimulants (speed, Adderall, diet pills, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_013,pex_bm_assistv4,,radio,"Methamphetamine (meth, crystal meth, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_014,pex_bm_assistv4,,radio,"Inhalants (nitrous, glue, petrol, paint thinner, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_015,pex_bm_assistv4,,radio,"Hallucinogens or club drugs (LSD, acid, mushrooms, psilocybin, MDMA, molly, ecstasy, Special K, GHB, etc.)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_016,pex_bm_assistv4,,radio,"Androgenic anabolic steroids (for performance enhancement)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_017,pex_bm_assistv4,,radio,"Phencyclidine (PCP)","0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_018,pex_bm_assistv4,,radio,Kratom,"0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_12m_i_use_019,pex_bm_assistv4,,radio,Xylazine,"0, Never | 1, Once or Twice | 2, Monthly | 3, Weekly | 4, Daily or Almost Daily | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,,y,,,pex_bm_assistv4_12m_i_use_m01,,
pex_bm_assistv4_instr30,pex_bm_assistv4,,descriptive,"<div> <h6><span style=""color:blue; font-weight: bold;""><em>DURING THE PAST TWELVE MONTHS, has your use of this substance led to physical or mental health, social,or financial problems?</em></span></h6> </div>",,,,,,,"sum([pex_bm_assistv4_12m_i_use_001], [pex_bm_assistv4_12m_i_use_002], [pex_bm_assistv4_12m_i_use_003], [pex_bm_assistv4_12m_i_use_004], [pex_bm_assistv4_12m_i_use_005], [pex_bm_assistv4_12m_i_use_006], [pex_bm_assistv4_12m_i_use_007], [pex_bm_assistv4_12m_i_use_008], [pex_bm_assistv4_12m_i_use_009], [pex_bm_assistv4_12m_i_use_010], [pex_bm_assistv4_12m_i_use_011], [pex_bm_assistv4_12m_i_use_012], [pex_bm_assistv4_12m_i_use_013], [pex_bm_assistv4_12m_i_use_014], [pex_bm_assistv4_12m_i_use_015], [pex_bm_assistv4_12m_i_use_016], [pex_bm_assistv4_12m_i_use_017], [pex_bm_assistv4_12m_i_use_018], [pex_bm_assistv4_12m_i_use_019]) > 0
AND
sum([pex_bm_assistv4_12m_i_use_001], [pex_bm_assistv4_12m_i_use_002], [pex_bm_assistv4_12m_i_use_003], [pex_bm_assistv4_12m_i_use_004], [pex_bm_assistv4_12m_i_use_005], [pex_bm_assistv4_12m_i_use_006], [pex_bm_assistv4_12m_i_use_007], [pex_bm_assistv4_12m_i_use_008], [pex_bm_assistv4_12m_i_use_009], [pex_bm_assistv4_12m_i_use_010], [pex_bm_assistv4_12m_i_use_011], [pex_bm_assistv4_12m_i_use_012], [pex_bm_assistv4_12m_i_use_013], [pex_bm_assistv4_12m_i_use_014], [pex_bm_assistv4_12m_i_use_015], [pex_bm_assistv4_12m_i_use_016], [pex_bm_assistv4_12m_i_use_017], [pex_bm_assistv4_12m_i_use_018], [pex_bm_assistv4_12m_i_use_019]) < 777",,,,,,
pex_bm_assistv4_12m_i_problem_001,pex_bm_assistv4,,radio,"Nicotine or tobacco products (cigarettes, e-cigarettes, chewing tobacco, cigars, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_001] = '1' OR [pex_bm_assistv4_12m_i_use_001] = '2' OR [pex_bm_assistv4_12m_i_use_001] = '3' OR [pex_bm_assistv4_12m_i_use_001] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_002,pex_bm_assistv4,,radio,"Alcoholic beverages (beer, wine, spirits, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_002] = '1' OR [pex_bm_assistv4_12m_i_use_002] = '2' OR [pex_bm_assistv4_12m_i_use_002] = '3' OR [pex_bm_assistv4_12m_i_use_001] = '2')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_003,pex_bm_assistv4,,radio,"Cannabis (marijuana, weed, pot, hash, wax, blunts, dabs, gummies, vapes, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_003] = '1' OR [pex_bm_assistv4_12m_i_use_003] = '2' OR [pex_bm_assistv4_12m_i_use_003] = '3' OR [pex_bm_assistv4_12m_i_use_003] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_004,pex_bm_assistv4,,radio,"Cannabidiol (CBD; not containing THC)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_004] = '1' OR [pex_bm_assistv4_12m_i_use_004] = '2' OR [pex_bm_assistv4_12m_i_use_004] = '3' OR [pex_bm_assistv4_12m_i_use_004] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_005,pex_bm_assistv4,,radio,"Synthetic cannabinoids (K2, spice, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_005] = '1' OR [pex_bm_assistv4_12m_i_use_005] = '2' OR [pex_bm_assistv4_12m_i_use_005] = '3' OR [pex_bm_assistv4_12m_i_use_005] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_006,pex_bm_assistv4,,radio,"Prescription opioids (oxycodone, morphine, codeine, fentanyl, tramadol, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_006] = '1' OR [pex_bm_assistv4_12m_i_use_006] = '2' OR [pex_bm_assistv4_12m_i_use_006] = '3' OR [pex_bm_assistv4_12m_i_use_006] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_007,pex_bm_assistv4,,radio,"Heroin or other illicit opioids (e.g. illicit fentanyl, etc)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_007] = '1' OR [pex_bm_assistv4_12m_i_use_007] = '2' OR [pex_bm_assistv4_12m_i_use_007] = '3' OR [pex_bm_assistv4_12m_i_use_007] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_008,pex_bm_assistv4,,radio,Methadone,"1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_008] = '1' OR [pex_bm_assistv4_12m_i_use_008] = '2' OR [pex_bm_assistv4_12m_i_use_008] = '3' OR [pex_bm_assistv4_12m_i_use_008] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_009,pex_bm_assistv4,,radio,Buprenorphine,"1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_009] = '1' OR [pex_bm_assistv4_12m_i_use_009] = '2' OR [pex_bm_assistv4_12m_i_use_009] = '3' OR [pex_bm_assistv4_12m_i_use_009] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_010,pex_bm_assistv4,,radio,"Benzodiazepines, sedatives, or sleeping pills (Valium, Xanax, Ambien, barbiturates, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_010] = '1' OR [pex_bm_assistv4_12m_i_use_010] = '2' OR [pex_bm_assistv4_12m_i_use_010] = '3' OR [pex_bm_assistv4_12m_i_use_010] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_011,pex_bm_assistv4,,radio,"Cocaine (coke, crack, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_011] = '1' OR [pex_bm_assistv4_12m_i_use_011] = '2' OR [pex_bm_assistv4_12m_i_use_011] = '3' OR [pex_bm_assistv4_12m_i_use_011] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_012,pex_bm_assistv4,,radio,"Amphetamine type stimulants (speed, Adderall, diet pills, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_012] = '1' OR [pex_bm_assistv4_12m_i_use_012] = '2' OR [pex_bm_assistv4_12m_i_use_012] = '3' OR [pex_bm_assistv4_12m_i_use_012] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_013,pex_bm_assistv4,,radio,"Methamphetamine (meth, crystal meth, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_013] = '1' OR [pex_bm_assistv4_12m_i_use_013] = '2' OR [pex_bm_assistv4_12m_i_use_013] = '3' OR [pex_bm_assistv4_12m_i_use_013] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_014,pex_bm_assistv4,,radio,"Inhalants (nitrous, glue, petrol, paint thinner, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_014] = '1' OR [pex_bm_assistv4_12m_i_use_014] = '2' OR [pex_bm_assistv4_12m_i_use_014] = '3' OR [pex_bm_assistv4_12m_i_use_014] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_015,pex_bm_assistv4,,radio,"Hallucinogens or club drugs (LSD, acid, mushrooms, psilocybin, MDMA, molly, ecstasy, Special K, GHB, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_015] = '1' OR [pex_bm_assistv4_12m_i_use_015] = '2' OR [pex_bm_assistv4_12m_i_use_015] = '3' OR [pex_bm_assistv4_12m_i_use_015] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_016,pex_bm_assistv4,,radio,"Androgenic anabolic steroids (for performance enhancement)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_016] = '1' OR [pex_bm_assistv4_12m_i_use_016] = '2' OR [pex_bm_assistv4_12m_i_use_016] = '3' OR [pex_bm_assistv4_12m_i_use_016] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_017,pex_bm_assistv4,,radio,"Phencyclidine (PCP)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_017] = '1' OR [pex_bm_assistv4_12m_i_use_017] = '2' OR [pex_bm_assistv4_12m_i_use_017] = '3' OR [pex_bm_assistv4_12m_i_use_017] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_018,pex_bm_assistv4,,radio,Kratom,"1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_018] = '1' OR [pex_bm_assistv4_12m_i_use_018] = '2' OR [pex_bm_assistv4_12m_i_use_018] = '3' OR [pex_bm_assistv4_12m_i_use_018] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_12m_i_problem_019,pex_bm_assistv4,,radio,Xylazine,"1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_019] = '1' OR [pex_bm_assistv4_12m_i_use_019] = '2' OR [pex_bm_assistv4_12m_i_use_019] = '3' OR [pex_bm_assistv4_12m_i_use_019] = '4')",y,,,pex_bm_assistv4_12m_i_problem_m01,,
pex_bm_assistv4_instr31,pex_bm_assistv4,,descriptive,"<div> <h6><span style=""color:blue; font-weight: bold;""><em>DURING THE PAST TWELVE MONTHS, have you ever failed to do what was normally expected of you  (like work, go to school, be a parent, or household tasks) because of your use of this substance?</em></span></h6> </div>",,,,,,,"sum([pex_bm_assistv4_12m_i_use_001], [pex_bm_assistv4_12m_i_use_002], [pex_bm_assistv4_12m_i_use_003], [pex_bm_assistv4_12m_i_use_004], [pex_bm_assistv4_12m_i_use_005], [pex_bm_assistv4_12m_i_use_006], [pex_bm_assistv4_12m_i_use_007], [pex_bm_assistv4_12m_i_use_008], [pex_bm_assistv4_12m_i_use_009], [pex_bm_assistv4_12m_i_use_010], [pex_bm_assistv4_12m_i_use_011], [pex_bm_assistv4_12m_i_use_012], [pex_bm_assistv4_12m_i_use_013], [pex_bm_assistv4_12m_i_use_014], [pex_bm_assistv4_12m_i_use_015], [pex_bm_assistv4_12m_i_use_016], [pex_bm_assistv4_12m_i_use_017], [pex_bm_assistv4_12m_i_use_018], [pex_bm_assistv4_12m_i_use_019]) > 0
AND
sum([pex_bm_assistv4_12m_i_use_001], [pex_bm_assistv4_12m_i_use_002], [pex_bm_assistv4_12m_i_use_003], [pex_bm_assistv4_12m_i_use_004], [pex_bm_assistv4_12m_i_use_005], [pex_bm_assistv4_12m_i_use_006], [pex_bm_assistv4_12m_i_use_007], [pex_bm_assistv4_12m_i_use_008], [pex_bm_assistv4_12m_i_use_009], [pex_bm_assistv4_12m_i_use_010], [pex_bm_assistv4_12m_i_use_011], [pex_bm_assistv4_12m_i_use_012], [pex_bm_assistv4_12m_i_use_013], [pex_bm_assistv4_12m_i_use_014], [pex_bm_assistv4_12m_i_use_015], [pex_bm_assistv4_12m_i_use_016], [pex_bm_assistv4_12m_i_use_017], [pex_bm_assistv4_12m_i_use_018], [pex_bm_assistv4_12m_i_use_019]) < 777",,,,,,
pex_bm_assistv4_12m_i_perform_001,pex_bm_assistv4,,radio,"Nicotine or tobacco products (cigarettes, e-cigarettes, chewing tobacco, cigars, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_001] = '1' OR [pex_bm_assistv4_12m_i_use_001] = '2' OR [pex_bm_assistv4_12m_i_use_001] = '3' OR [pex_bm_assistv4_12m_i_use_001] = '4')",y,,,pex_bm_assistv4_12m_i_perform_m01,,
pex_bm_assistv4_12m_i_perform_002,pex_bm_assistv4,,radio,"Alcoholic beverages (beer, wine, spirits, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_002] = '1' OR [pex_bm_assistv4_12m_i_use_002] = '2' OR [pex_bm_assistv4_12m_i_use_002] = '3' OR [pex_bm_assistv4_12m_i_use_001] = '2')",y,,,pex_bm_assistv4_12m_i_perform_m01,,
pex_bm_assistv4_12m_i_perform_003,pex_bm_assistv4,,radio,"Cannabis (marijuana, weed, pot, hash, wax, blunts, dabs, gummies, vapes, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_003] = '1' OR [pex_bm_assistv4_12m_i_use_003] = '2' OR [pex_bm_assistv4_12m_i_use_003] = '3' OR [pex_bm_assistv4_12m_i_use_003] = '4')",y,,,pex_bm_assistv4_12m_i_perform_m01,,
pex_bm_assistv4_12m_i_perform_004,pex_bm_assistv4,,radio,"Cannabidiol (CBD; not containing THC)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_004] = '1' OR [pex_bm_assistv4_12m_i_use_004] = '2' OR [pex_bm_assistv4_12m_i_use_004] = '3' OR [pex_bm_assistv4_12m_i_use_004] = '4')",y,,,pex_bm_assistv4_12m_i_perform_m01,,
pex_bm_assistv4_12m_i_perform_005,pex_bm_assistv4,,radio,"Synthetic cannabinoids (K2, spice, etc.)","1, Yes | 0, No | 999, <font color=""gray"">Don't know</font> | 777, <font color=""gray"">Decline to answer</font>",,,,,,"([pex_bm_assistv4_12m_i_use_005] = '1' OR [pex_bm_assistv4_12m_i_use_005] = '2' OR [pex_bm_assistv4_12m_i_use_005] = '3' OR [pex_bm_assistv4_12m_i_use_005] = '4')",y,,,pex_bm_assistv4_12m_i_perform_m01,,
